"","Year","County","Per Capita Cost"
"688",2009,"Oldham",8334.39
"689",2009,"Orange",9859.61
"690",2009,"Palo Pinto",9760.41
"691",2009,"Panola",10159.96
"692",2009,"Parker",10026.45
"693",2009,"Parmer",8932.05
"694",2009,"Pecos",8195.78
"695",2009,"Polk",8578.43
"696",2009,"Potter",9439.2
"697",2009,"Presidio",5891.52
"698",2009,"Rains",8936.21
"699",2009,"Randall",8366.68
"700",2009,"Reagan",9732.39
"701",2009,"Real",7225.98
"702",2009,"Red River",11479.88
"703",2009,"Reeves",8468.41
"704",2009,"Refugio",9860.26
"705",2009,"Roberts",8110.88
"706",2009,"Robertson",10238.45
"707",2009,"Rockwall",9737.85
"708",2009,"Runnels",9767.48
"709",2009,"Rusk",10566.79
"710",2009,"Sabine",8433.39
"711",2009,"San Augustine",10028.52
"712",2009,"San Jacinto",11348.73
"713",2009,"San Patricio",10656.21
"714",2009,"San Saba",7392.35
"715",2009,"Schleicher",10633.28
"716",2009,"Scurry",9851.76
"717",2009,"Shackelford",9846.64
"718",2009,"Shelby",9996.55
"719",2009,"Sherman",6230.32
"720",2009,"Smith",10307.45
"721",2009,"Somervell",9997.34
"722",2009,"Starr",14400.54
"723",2009,"Stephens",9823.69
"724",2009,"Sterling",9775.17
"725",2009,"Stonewall",12355.98
"726",2009,"Sutton",10681.97
"727",2009,"Swisher",8330.05
"728",2009,"Tarrant",11344.76
"729",2009,"Taylor",8375.59
"730",2009,"Terrell",5581.8
"731",2009,"Terry",11025.21
"732",2009,"Throckmorton",10767.62
"733",2009,"Titus",10175.73
"734",2009,"Tom Green",8162.25
"735",2009,"Travis",9475.89
"736",2009,"Trinity",10172.81
"737",2009,"Tyler",9320.29
"738",2009,"Upshur",10162.07
"739",2009,"Upton",12688.77
"740",2009,"Uvalde",8539.72
"741",2009,"Val Verde",8684.41
"742",2009,"Van Zandt",9817.61
"743",2009,"Victoria",9689.69
"744",2009,"Walker",10994.8
"745",2009,"Waller",11101.13
"746",2009,"Ward",8219.18
"747",2009,"Washington",7541.62
"748",2009,"Webb",12281.94
"749",2009,"Wharton",10914.21
"750",2009,"Wheeler",10002.97
"751",2009,"Wichita",9678.8
"752",2009,"Wilbarger",9614.49
"753",2009,"Willacy",13220.28
"754",2009,"Williamson",8720.25
"755",2009,"Wilson",9138.83
"756",2009,"Winkler",8662.5
"757",2009,"Wise",10540.04
"758",2009,"Wood",9264.78
"759",2009,"Yoakum",10004.87
"760",2009,"Young",10685.93
"761",2009,"Zapata",14497.2
"762",2009,"Zavala",11658.94
"763",2010,"Anderson",9405.97
"764",2010,"Andrews",8945.51
"765",2010,"Angelina",10514.85
"766",2010,"Aransas",9585.92
"767",2010,"Archer",9021.11
"768",2010,"Armstrong",7831.52
"769",2010,"Atascosa",10288.64
"770",2010,"Austin",8425.88
"771",2010,"Bailey",8609.17
"772",2010,"Bandera",7778.75
"773",2010,"Bastrop",9453.04
"774",2010,"Baylor",10756.41
"775",2010,"Bee",11682.92
"776",2010,"Bell",8651.5
"777",2010,"Bexar",10488.96
"778",2010,"Blanco",7696.74
"779",2010,"Borden",9379.67
"780",2010,"Bosque",8035.34
"781",2010,"Bowie",9633.63
"782",2010,"Brazoria",10997.91
"783",2010,"Brazos",9541.38
"784",2010,"Brewster",6829.96
"785",2010,"Briscoe",9567.48
"786",2010,"Brooks",13751.24
"787",2010,"Brown",9347.96
"788",2010,"Burleson",8974.54
"789",2010,"Burnet",8739.09
"790",2010,"Caldwell",10952.77
"791",2010,"Calhoun",9763.26
"792",2010,"Callahan",8230.36
"793",2010,"Cameron",12944.76
"794",2010,"Camp",10061.39
"795",2010,"Carson",8466.68
"796",2010,"Cass",9382.53
"797",2010,"Castro",9744.14
"798",2010,"Chambers",12151.22
"799",2010,"Cherokee",10289.06
"800",2010,"Childress",8587.52
"801",2010,"Clay",9325.22
"802",2010,"Cochran",10734.85
"803",2010,"Coke",8661.88
"804",2010,"Coleman",8209.84
"805",2010,"Collin",10430.93
"806",2010,"Collingsworth",13936.91
"807",2010,"Colorado",10492.82
"808",2010,"Comal",8982.46
"809",2010,"Comanche",8715.99
"810",2010,"Concho",7947.92
"811",2010,"Cooke",10169.59
"812",2010,"Coryell",8404.99
"813",2010,"Cottle",6676.48
"814",2010,"Crane",10308.34
"815",2010,"Crockett",7927.16
"816",2010,"Crosby",11205.66
"817",2010,"Culberson",9750.53
"818",2010,"Dallam",8958.69
"819",2010,"Dallas",12163.48
"820",2010,"Dawson",10807.27
"821",2010,"DeWitt",9530.67
"822",2010,"Deaf Smith",8406.24
